City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,vila franca do campo,37.7167,-25.4333,14.23,74,38,4.5,PT,1675018283
132,souillac,-20.5167,57.5167,26.21,89,40,2.06,MU,1675018495
133,quelimane,-17.8786,36.8883,28.97,84,20,4.12,MZ,1675018495
134,kjollefjord,70.9457,27.3465,0.9,69,40,5.14,NO,1675018495
135,kashi,39.4547,75.9797,-8.44,79,100,3.0,CN,1675018496
136,sinnamary,5.3833,-52.95,26.5,74,51,4.43,GF,1675018497
137,ribeira grande,38.5167,-28.7,14.87,77,40,3.09,PT,1675018497
138,cherskiy,68.75,161.3,-23.38,97,100,1.78,RU,1675018498
139,aswan,24.0934,32.907,23.61,35,0,1.54,EG,1675018498
140,alofi,-19.0595,-169.9187,23.94,94,64,1.03,NU,1675018354
141,morrope,-6.5417,-80.0111,28.06,43,12,7.39,PE,1675018500
142,paithan,19.4833,75.3833,21.81,53,0,3.46,IN,1675018500
143,princeton,25.5384,-80.4089,27.79,71,75,4.63,US,1675018501
144,malatya,38.5,38.0,2.03,93,100,1.54,TR,1675018501
145,hirara,24.8,125.2833,15.55,57,87,7.99,JP,1675018502
146,corrente,-3.7367,-43.3394,30.2,55,100,0.97,BR,1675018503
147,cooma,-36.2333,149.1333,16.27,99,100,0.64,AU,1675018503
148,bethel,41.3712,-73.414,10.27,63,100,0.45,US,1675018504
149,taoudenni,22.6783,-3.9836,19.13,17,64,3.74,ML,1675018504
150,nikolskoye,59.7035,30.7861,0.94,90,66,4.51,RU,1675018505
151,san cristobal,7.7669,-72.225,24.1,26,7,1.86,VE,1675018505
152,goundam,16.4145,-3.6708,18.94,10,100,2.89,ML,1675018473
153,darhan,49.4867,105.9228,-19.4,96,95,1.86,MN,1675018289
154,thompson,55.7435,-97.8558,-28.91,69,75,4.63,CA,1675018321
155,mahibadhoo,3.7833,72.9667,26.71,78,7,4.57,MV,1675018507
156,karratha,-20.7377,116.8463,29.94,52,82,2.79,AU,1675018508
157,sindor,62.8629,51.8905,-11.58,94,100,3.88,RU,1675018509
158,chulman,56.8479,124.9104,-32.96,100,100,0.35,RU,1675018509
159,tynda,55.1667,124.7167,-35.04,100,77,1.31,RU,1675018510
160,berlevag,70.8578,29.0864,1.0,93,100,7.72,NO,1675018511
161,tuktoyaktuk,69.4541,-133.0374,-24.0,77,75,1.03,CA,1675018254
